Rank,Company,Ticker,Exchange,Sector,Notes
1,Apple,AAPL,NASDAQ,Technology,Consumer electronics & services
2,Microsoft,MSFT,NASDAQ,Technology,Software & cloud services
3,Amazon.com,AMZN,NASDAQ,Consumer Cyclical,E-commerce & cloud
4,Alphabet (Class A),GOOGL,NASDAQ,Communication Services,Search & advertising
5,Meta Platforms,META,NASDAQ,Communication Services,Social media & VR
6,Tesla,TSLA,NASDAQ,Automotive,Electric vehicles & energy
7,NVIDIA,NVDA,NASDAQ,Semiconductors,GPUs & AI chips
8,Intel,INTC,NASDAQ,Semiconductors,Chipmaker
9,Advanced Micro Devices,AMD,NASDAQ,Semiconductors,Chips & processors
10,Qualcomm,QCOM,NASDAQ,Semiconductors,Wireless chipsets
11,Broadcom,AVGO,NASDAQ,Semiconductors,Semiconductor & software
12,Cisco Systems,CSCO,NASDAQ,Technology,Networking hardware
13,Oracle,ORCL,NYSE,Technology,Database & enterprise software
14,IBM,IBM,NYSE,Technology,IT & consulting
15,Adobe,ADBE,NASDAQ,Software,Creative software
16,Netflix,NFLX,NASDAQ,Streaming,Entertainment streaming
17,Walt Disney Company,DIS,NYSE,Entertainment,Media & theme parks
18,Nike,NKE,NYSE,Apparel,Sportswear & shoes
19,McDonald's,MCD,NYSE,Restaurants,Fast food
20,Coca-Cola,KO,NYSE,Beverages,Soft drinks
21,PepsiCo,PEP,NASDAQ,Beverages & Snacks,Soft drinks & snacks
22,Starbucks,SBUX,NASDAQ,Restaurants,Coffee chain
23,Walmart,WMT,NYSE,Retail,Retail & supermarkets
24,Costco Wholesale,COST,NASDAQ,Retail,Wholesale retailer
25,Target,TGT,NYSE,Retail,General retail stores
26,Home Depot,HD,NYSE,Retail,Home improvement
27,Lowe's Companies,LOW,NYSE,Retail,Home improvement
28,Johnson & Johnson,JNJ,NYSE,Healthcare,Healthcare & consumer products
29,Pfizer,PFE,NYSE,Healthcare,Pharmaceuticals
30,Moderna,MRNA,NASDAQ,Healthcare,Biotechnology
31,Merck & Co.,MRK,NYSE,Healthcare,Pharmaceuticals
32,Eli Lilly,LLY,NYSE,Healthcare,Pharmaceuticals
33,Abbott Laboratories,ABT,NYSE,Healthcare,Medical devices & healthcare
