,Column,Average
0,Close+1M,105.72163291256432
1,Close+2M,108.32425828357647
2,Close+3M,110.09655071814412
3,Close+4M,111.04118739402116
4,Close+5M,115.41840437104769
5,Close+6M,116.0173209915048
6,Close+7M,117.64991394820667
7,Close+8M,121.72754862441485
8,Close+9M,128.18572331582658
9,Close+10M,130.15170896947987
10,Close+11M,134.00913937496506
11,Close+12M,137.47217415588347
12,Close+13M,138.11173246025055
13,Close+14M,138.88303095400335
14,Close+15M,143.15944739216465
15,Close+16M,146.01377952555393
16,Close+17M,147.85198835044778
17,Close+18M,147.88513354469018
18,Close+19M,150.2655551532255
19,Close+20M,139.33350302574394
20,Close+21M,138.69652793248494
21,Close+22M,141.48091144583103
22,Close+23M,140.79666055692152
23,Close+24M,137.2254748869478
24,Close+25M,138.69640034705668
25,Close+26M,134.3042453426978
26,Close+27M,128.93886583223255
27,Close+28M,126.51177509443475
28,Close+29M,133.66885625984935
29,Close+30M,130.73902575434926
30,Close+31M,130.54288632513206
31,Close+32M,137.67824241924734
32,Close+33M,138.37943793355294
33,Close+34M,142.10431231367645
34,Close+35M,144.50882295479522
35,Close+36M,142.32776854489302
36,Close+37M,146.36053682024365
37,Close+38M,146.93568241238594
38,Close+39M,152.35075633574013
39,Close+40M,156.46836411402776
40,Close+41M,155.88891183105676
41,Close+42M,148.3555190523902
42,Close+43M,144.1366078392798
43,Close+44M,146.3889954995418
44,Close+45M,148.48603028604063
45,Close+46M,150.63908368402136
46,Close+47M,156.55231452498597
47,Close+48M,159.49063433656013
