Company Name,Ticker,Sector,Exchange
Apple Inc,AAPL,Technology,NASDAQ
Microsoft Corporation,MSFT,Technology,NASDAQ
Amazon.com Inc,AMZN,Consumer Discretionary,NASDAQ
Alphabet Inc Class A,GOOGL,Technology,NASDAQ
Tesla Inc,TSLA,Automotive,NASDAQ
Meta Platforms Inc,META,Technology,NASDAQ
Berkshire Hathaway Inc Class B,BRK.B,Financial Services,NYSE
NVIDIA Corporation,NVDA,Technology,NASDAQ
Exxon Mobil Corporation,XOM,Energy,NYSE
Johnson & Johnson,JNJ,Healthcare,NYSE
UnitedHealth Group Inc,UNH,Healthcare,NYSE
JPMorgan Chase & Co,JPM,Financial Services,NYSE
Procter & Gamble Company,PG,Consumer Staples,NYSE
Visa Inc Class A,V,Financial Services,NYSE
Home Depot Inc,HD,Consumer Discretionary,NYSE
Chevron Corporation,CVX,Energy,NYSE
Mastercard Inc Class A,MA,Financial Services,NYSE
Pfizer Inc,PFE,Healthcare,NYSE
Bank of America Corporation,BAC,Financial Services,NYSE
Coca-Cola Company,KO,Consumer Staples,NYSE
PepsiCo Inc,PEP,Consumer Staples,NASDAQ
Abbott Laboratories,ABT,Healthcare,NYSE
Costco Wholesale Corporation,COST,Consumer Staples,NASDAQ
Disney (Walt) Company,DIS,Communication Services,NYSE
Cisco Systems Inc,CSCO,Technology,NASDAQ
AbbVie Inc,ABBV,Healthcare,NYSE
Merck & Co Inc,MRK,Healthcare,NYSE
Salesforce Inc,CRM,Technology,NYSE
Thermo Fisher Scientific Inc,TMO,Healthcare,NYSE
McDonald's Corporation,MCD,Consumer Discretionary,NYSE
Netflix Inc,NFLX,Communication Services,NASDAQ
Oracle Corporation,ORCL,Technology,NYSE
Accenture plc Class A,ACN,Information Technology,NYSE
Walmart Inc,WMT,Consumer Staples,NYSE
Adobe Inc,ADBE,Technology,NASDAQ
Nike Inc Class B,NKE,Consumer Discretionary,NYSE
Comcast Corporation Class A,CMCSA,Communication Services,NASDAQ
Verizon Communications Inc,VZ,Communication Services,NYSE
AT&T Inc,T,Communication Services,NYSE
Intel Corporation,INTC,Technology,NASDAQ
Broadcom Inc,AVGO,Technology,NASDAQ
NextEra Energy Inc,NEE,Utilities,NYSE
Union Pacific Corporation,UNP,Industrials,NYSE
Lilly (Eli) and Company,LLY,Healthcare,NYSE
American Express Company,AXP,Financial Services,NYSE
Caterpillar Inc,CAT,Industrials,NYSE
Morgan Stanley,MS,Financial Services,NYSE
Wells Fargo & Company,WFC,Financial Services,NYSE
International Business Machines,IBM,Technology,NYSE
General Electric Company,GE,Industrials,NYSE
Starbucks Corporation,SBUX,Consumer Discretionary,NASDAQ
CVS Health Corporation,CVS,Healthcare,NYSE
Goldman Sachs Group Inc,GS,Financial Services,NYSE
Texas Instruments Inc,TXN,Technology,NASDAQ
Lockheed Martin Corporation,LMT,Industrials,NYSE
Honeywell International Inc,HON,Industrials,NYSE
Boeing Company,BA,Industrials,NYSE
American Tower Corporation,AMT,Real Estate,NYSE
Mondelez International Inc Class A,MDLZ,Consumer Staples,NASDAQ
PayPal Holdings Inc,PYPL,Financial Services,NASDAQ
ConocoPhillips,COP,Energy,NYSE
Advanced Micro Devices Inc,AMD,Technology,NASDAQ
Danaher Corporation,DHR,Healthcare,NYSE
Lowe's Companies Inc,LOW,Consumer Discretionary,NYSE
Qualcomm Inc,QCOM,Technology,NASDAQ
ServiceNow Inc,NOW,Technology,NYSE
Booking Holdings Inc,BKNG,Consumer Discretionary,NASDAQ
Medtronic plc,MDT,Healthcare,NYSE
United Parcel Service Inc Class B,UPS,Industrials,NYSE
Raytheon Technologies Corporation,RTX,Industrials,NYSE
Philip Morris International Inc,PM,Consumer Staples,NYSE
Bristol-Myers Squibb Company,BMY,Healthcare,NYSE
Intuit Inc,INTU,Technology,NASDAQ
Charles Schwab Corporation,SCHW,Financial Services,NYSE
Amgen Inc,AMGN,Healthcare,NASDAQ
BlackRock Inc,BLK,Financial Services,NYSE
S&P Global Inc,SPGI,Financial Services,NYSE
Deere & Company,DE,Industrials,NYSE
Target Corporation,TGT,Consumer Discretionary,NYSE
FedEx Corporation,FDX,Industrials,NYSE
Citigroup Inc,C,Financial Services,NYSE
Altria Group Inc,MO,Consumer Staples,NYSE
General Motors Company,GM,Automotive,NYSE
Ford Motor Company,F,Automotive,NYSE
Applied Materials Inc,AMAT,Technology,NASDAQ
Micron Technology Inc,MU,Technology,NASDAQ
Northrop Grumman Corporation,NOC,Industrials,NYSE
Duke Energy Corporation,DUK,Utilities,NYSE
Southern Company,SO,Utilities,NYSE
Shopify Inc Class A,SHOP,Technology,NYSE
Square Inc Class A,SQ,Financial Services,NYSE
