,Column,Average
0,Close+1M,107.98627960074049
1,Close+2M,105.06678537421283
2,Close+3M,107.26864305662386
3,Close+4M,107.15098821771053
4,Close+5M,106.75546314931732
5,Close+6M,112.11652263817479
6,Close+7M,114.16855068675024
7,Close+8M,113.63181272244402
8,Close+9M,117.91059198687154
9,Close+10M,115.10324028717292
10,Close+11M,116.4478837788518
11,Close+12M,114.12422227634042
12,Close+13M,113.54589989424892
13,Close+14M,114.71579851940567
14,Close+15M,118.40235422828422
15,Close+16M,117.18785109199602
16,Close+17M,118.60891840221416
17,Close+18M,116.5810408088896
18,Close+19M,119.08115078508854
19,Close+20M,102.31824060386613
20,Close+21M,104.76705422934448
21,Close+22M,105.38480466567665
22,Close+23M,106.23474628714067
23,Close+24M,107.87899712331934
24,Close+25M,108.53535070828478
25,Close+26M,109.4086860380937
26,Close+27M,110.40854047207122
27,Close+28M,112.2846281175579
28,Close+29M,112.52891270319621
29,Close+30M,109.3220829305018
30,Close+31M,115.75802510012235
31,Close+32M,116.15357759517173
32,Close+33M,117.08126764919447
33,Close+34M,117.60121187104119
34,Close+35M,118.21770463290724
35,Close+36M,119.32201674812198
36,Close+37M,122.8563136272743
37,Close+38M,129.92936484110837
38,Close+39M,127.31374308000127
39,Close+40M,129.650405400916
40,Close+41M,131.6164777256618
41,Close+42M,117.2974260696257
42,Close+43M,126.27359112826261
43,Close+44M,138.57034557968822
44,Close+45M,118.86449591070414
45,Close+46M,113.84965328631863
46,Close+47M,118.63687346458435
47,Close+48M,108.94882296432148
