,Column,Average
0,Close+1M,98.6426039873172
1,Close+2M,100.44676145665076
2,Close+3M,104.93642542017658
3,Close+4M,105.29886715614074
4,Close+5M,108.64888741896877
5,Close+6M,107.1182081255838
6,Close+7M,110.37320325825101
7,Close+8M,112.2179987712002
8,Close+9M,116.40893390280905
9,Close+10M,118.30966644432239
10,Close+11M,120.5493461948842
11,Close+12M,122.62369827413102
12,Close+13M,126.48965673015158
13,Close+14M,127.24280918638371
14,Close+15M,128.50185908327802
15,Close+16M,130.26114262079156
16,Close+17M,133.6296623192365
17,Close+18M,132.85694984555357
18,Close+19M,134.31346809798762
19,Close+20M,135.63103137940368
20,Close+21M,135.32497662718876
21,Close+22M,134.3417720551546
22,Close+23M,132.3459154077666
23,Close+24M,131.58580087448294
24,Close+25M,132.81393860494637
25,Close+26M,126.44489592904232
26,Close+27M,123.33539639537042
27,Close+28M,125.31411080799698
28,Close+29M,133.4624948956793
29,Close+30M,129.06270830039082
30,Close+31M,126.25853519695403
31,Close+32M,134.57964752237626
32,Close+33M,133.42840061765912
33,Close+34M,135.91631594377776
34,Close+35M,138.335244727984
35,Close+36M,136.04485469215678
36,Close+37M,140.55600492989188
37,Close+38M,140.1866783227815
38,Close+39M,143.16146002921835
39,Close+40M,147.932099739243
40,Close+41M,145.67335300130216
41,Close+42M,144.56332774298798
42,Close+43M,141.84986885937167
43,Close+44M,146.06561041901057
44,Close+45M,153.09306689780823
45,Close+46M,156.01755785029275
46,Close+47M,161.59918989592396
47,Close+48M,166.730506169796
